year,genre,duration,country,avg_vote,votes,rlwide_gross_income,reviews_from_critics
2008,"Biography, Drama, War",92,"Germany, Austria, France",6,197,17454,28
2005,Drama,85,"Argentina, France",6,1031,17498,10
2013,Thriller,87,Poland,2,116,17569,
2005,"Romance, Drama",90,"Slovakia, Czech Republic",7.1,101,17696,2
2014,"Comedy, Drama",111,USA,6.2,1888,17702,30
2011,Drama,94,USA,6.1,4622,17739,23
2007,Drama,110,Japan,7.1,637,17889,15
2016,"Comedy, Drama",87,"Romania, Lithuania, Moldova",7.5,594,17994,6
2018,Drama,120,Romania,6.9,114,18013,5
1966,"Drama, Comedy, War",102,"France, Italy",7.5,3392,18130,33
2016,"Drama, Horror, Thriller",93,USA,3.1,291,18319,1
2007,"Crime, Horror, Thriller",100,"Spain, USA",5.6,1224,18320,24
2018,Horror,77,Turkey,4.3,134,18460,
2003,Comedy,84,Hungary,6.8,426,18501,
2018,"Action, Drama, History",114,"UK, Latvia",6.3,1574,18598,1
2006,"Crime, Drama",96,Italy,5.2,126,18781,2
2013,Drama,89,USA,6.5,1380,18823,42
2014,Comedy,102,Sweden,5.3,1289,18942,3
2015,"Drama, Sport",95,USA,5.6,1154,19003,7
1975,"Drama, Romance",109,"France, Italy, West Germany",7.3,3050,19120,37
2009,"Comedy, Drama, Mystery",95,Turkey,5.1,237,19142,1
1946,"Adventure, Drama, Mystery",118,UK,7.8,20665,19329,59
2019,Comedy,120,India,3.4,387,19437,2
2018,Drama,127,India,7.5,134,19458,
2017,"Mystery, Thriller",93,UK,5.1,1701,19532,17
2014,Thriller,78,"France, Italy",5,277,19585,7
2007,"Comedy, Drama",102,"UK, Slovenia, Serbia, Germany, Bosnia and Herzegovina",7.4,968,19632,4
2017,"Horror, Mystery, Thriller",107,Canada,4.9,117,19727,19
2014,"Comedy, Crime, Drama",96,USA,6,404,19777,28
2016,"Comedy, Romance",137,India,5.6,433,19873,6
2018,Drama,95,"Slovenia, Austria",7.1,732,20056,12
2015,"Drama, Horror, Thriller",101,"Brazil, Argentina",6.2,442,20065,20
